_id,RSN,YEAR_REGISTERED,YEAR_EVALUATED,YEAR_BUILT,PROPERTY_TYPE,WARD,WARDNAME,SITE_ADDRESS,CONFIRMED_STOREYS,CONFIRMED_UNITS,EVALUATION_COMPLETED_ON,SCORE,RESULTS_OF_SCORE,NO_OF_AREAS_EVALUATED,ENTRANCE_LOBBY,ENTRANCE_DOORS_WINDOWS,SECURITY,STAIRWELLS,LAUNDRY_ROOMS,INTERNAL_GUARDS_HANDRAILS,GARBAGE_CHUTE_ROOMS,GARBAGE_BIN_STORAGE_AREA,ELEVATORS,STORAGE_AREAS_LOCKERS,INTERIOR_WALL_CEILING_FLOOR,INTERIOR_LIGHTING_LEVELS,GRAFFITI,EXTERIOR_CLADDING,EXTERIOR_GROUNDS,EXTERIOR_WALKWAYS,BALCONY_GUARDS,WATER_PEN_EXT_BLDG_ELEMENTS,PARKING_AREA,OTHER_FACILITIES,GRID,LATITUDE,LONGITUDE,X,Y
2421900,4153031,2018,2020,1965,PRIVATE,04,Parkdale-High Park,157 JAMESON AVE,6,66,2020-11-17,73,Evaluation needs to be conducted in 2 years,17,4,4,5,3,3,4,N/A,4,4,N/A,3,4,3,4,4,3,4,3,3,N/A,S0436,43.6376650671,-79.435751998,309968.274,4832859.448
2421901,4153032,2018,2020,1965,PRIVATE,04,Parkdale-High Park,165 JAMESON AVE,7,82,2020-11-17,75,Evaluation needs to be conducted in 2 years,17,4,4,5,4,4,4,N/A,4,4,N/A,3,4,4,3,3,3,4,4,3,N/A,S0436,43.6379977398,-79.4358904855,309957.073,4832896.397
2421902,4154523,2017,2020,1956,PRIVATE,08,Eglinton-Lawrence,20 HOTSPUR RD,3,12,2020-11-17,71,Evaluation needs to be conducted in 2 years,16,3,4,1,4,3,4,N/A,4,N/A,N/A,3,4,4,3,4,4,4,4,4,N/A,N0823,43.7331587008,-79.4345882213,310034.957,4843456.264
2421903,4167688,2017,2020,1971,PRIVATE,20,Scarborough Southwest,29 GLEN EVEREST RD,3,11,2020-11-17,75,Evaluation needs to be conducted in 2 years,16,3,4,3,3,3,4,N/A,4,N/A,4,3,4,5,4,4,4,N/A,4,4,N/A,E2035,43.7006703636,-79.2528221569,324707.039,4839886.611
2421904,4152581,2017,2020,1971,PRIVATE,20,Scarborough Southwest,31-33 GLEN EVEREST RD,3,22,2020-11-17,73,Evaluation needs to be conducted in 2 years,16,3,4,3,3,3,3,N/A,4,N/A,4,3,4,5,4,4,3,N/A,4,4,N/A,E2035,43.700613718,-79.2522439531,324702.93,4839900.186
2421905,4153046,2017,2020,1960,PRIVATE,04,Parkdale-High Park,83 INDIAN RD,5,21,2020-11-17,66,Evaluation needs to be conducted in 2 years,17,3,3,4,3,3,3,N/A,4,3,N/A,2,3,4,2,4,4,3,4,4,N/A,S0434,43.6422400128,-79.4533563133,308547.591,4833366.778
2421906,4156232,2017,2020,1969,TCHC,05,York South-Weston,101 HUMBER BLVD,14,246,2020-11-17,67,Evaluation needs to be conducted in 2 years,19,3,3,5,3,4,3,3,3,3,N/A,3,3,3,3,4,4,5,3,3,3,W0539,43.679802556,-79.4820189606,306234.164,4837538.915
2421907,4154525,2017,2020,1952,PRIVATE,08,Eglinton-Lawrence,24 HOTSPUR RD,3,10,2020-11-17,80,Evaluation needs to be conducted in 2 years,17,4,4,4,4,4,4,N/A,3,N/A,4,4,4,5,4,4,4,4,4,4,N/A,N0823,43.733065925,-79.4350942032,309994.884,4843443.039
2421908,4155091,2017,2020,1953,PRIVATE,05,York South-Weston,2558 EGLINTON AVE W,4,29,2020-11-17,85,Evaluation needs to be conducted in 2 years,17,4,4,5,4,5,3,N/A,4,N/A,5,5,5,5,4,4,4,3,4,4,N/A,W0533,43.691135465,-79.471860488,307052.604,4838799.09
2421909,4152579,2017,2020,1971,PRIVATE,20,Scarborough Southwest,23 GLEN EVEREST RD,3,11,2020-11-17,78,Evaluation needs to be conducted in 2 years,16,3,4,4,3,3,4,N/A,4,N/A,4,3,5,5,4,4,4,N/A,4,4,N/A,E2035,43.700017847,-79.2530664991,324687.562,4839814.06
2421910,4167788,2017,2020,1971,PRIVATE,20,Scarborough Southwest,25 GLEN EVEREST RD,3,11,2020-11-17,75,Evaluation needs to be conducted in 2 years,16,3,4,4,3,3,4,N/A,4,N/A,4,3,4,5,4,4,3,N/A,4,4,N/A,E2035,43.7001107344,-79.2530513006,324688.756,4839824.383
2421911,4152580,2017,2020,1971,PRIVATE,20,Scarborough Southwest,27 GLEN EVEREST RD,3,11,2020-11-17,76,Evaluation needs to be conducted in 2 years,16,3,4,4,3,3,4,N/A,4,N/A,4,3,4,5,4,4,4,N/A,4,4,N/A,E2035,43.7005566696,-79.2528798583,324702.426,4839873.966
2421912,4154001,2017,2020,1955,PRIVATE,12,Toronto-St. Paul's,211 EGLINTON AVE W,3,31,2020-11-17,83,Evaluation needs to be conducted in 2 years,14,3,4,5,4,4,4,N/A,4,N/A,N/A,5,4,5,4,4,4,N/A,4,N/A,N/A,S1227,43.705039078,-79.405292084,312417.183,4840347.741
2421913,4153504,2017,2020,1928,PRIVATE,13,Toronto Centre,138 WELLESLEY ST E,3,26,2020-11-17,83,Evaluation needs to be conducted in 2 years,15,4,4,3,4,4,4,N/A,4,N/A,N/A,4,5,5,4,5,5,3,4,N/A,N/A,S1322,43.6668236077,-79.3771743291,314689.849,4836104.096
2421914,4154257,2017,2020,1960,PRIVATE,07,Humber River-Black Creek,3 DAMASK AVE,3,10,2020-11-17,76,Evaluation needs to be conducted in 2 years,16,3,4,4,4,3,4,N/A,4,N/A,3,3,3,5,4,4,5,N/A,4,4,N/A,W0728,43.7416935323,-79.5396641026,301589.804,4844415.332
2421915,4156523,2017,2020,1950,PRIVATE,02,Etobicoke Centre,4750 DUNDAS ST W,4,14,2020-11-17,83,Evaluation needs to be conducted in 2 years,15,4,4,5,4,4,3,N/A,3,N/A,N/A,4,4,5,4,5,4,N/A,5,4,N/A,W0229,43.652601481,-79.525645179,302689.552,4834490.961
2421916,4156289,2017,2020,1950,PRIVATE,02,Etobicoke Centre,4752 DUNDAS ST W,4,14,2020-11-17,83,Evaluation needs to be conducted in 2 years,15,4,4,4,5,4,3,N/A,3,N/A,N/A,4,4,5,4,5,4,N/A,5,4,N/A,W0229,43.652394933,-79.525845839,302688.053,4834472.61
2421917,4155253,2017,2020,1960,PRIVATE,03,Etobicoke-Lakeshore,193 STEPHEN DR,3,10,2020-11-17,88,Evaluation needs to be conducted in 3 years,17,4,4,5,4,4,5,N/A,5,N/A,4,5,5,5,4,4,4,5,4,4,N/A,W0327,43.640715018,-79.488178586,305737.446,4833198.606
2421918,4155379,2017,2020,1968,PRIVATE,02,Etobicoke Centre,328 THE WEST MALL,3,32,2020-11-17,76,Evaluation needs to be conducted in 2 years,18,4,4,4,4,3,3,N/A,4,3,3,3,2,5,5,5,4,2,5,5,N/A,W0233,43.6373133386,-79.564053632,299616.185,4832820.397
2421919,4155203,2017,2020,1958,PRIVATE,04,Parkdale-High Park,4070 OLD DUNDAS ST,5,48,2020-11-17,79,Evaluation needs to be conducted in 2 years,18,4,4,4,4,4,3,N/A,4,4,4,4,4,5,4,4,4,4,4,3,N/A,S0421,43.662865718,-79.504063965,304456.251,4835658.189
2421920,4155250,2017,2020,1955,PRIVATE,03,Etobicoke-Lakeshore,143 STEPHEN DR,5,31,2020-11-17,85,Evaluation needs to be conducted in 2 years,17,4,4,5,4,4,5,N/A,4,N/A,4,4,5,5,3,4,4,5,4,4,N/A,W0327,43.6386817552,-79.4872228094,305815.067,4832975.459
2421921,4155251,2017,2020,1960,PRIVATE,03,Etobicoke-Lakeshore,159 STEPHEN DR,4,24,2020-11-17,85,Evaluation needs to be conducted in 2 years,17,4,3,5,4,4,4,N/A,4,N/A,5,4,5,5,4,4,4,4,4,5,N/A,W0327,43.6389598462,-79.4872934251,305809.566,4833001.486
2421922,4155252,2018,2020,1954,PRIVATE,03,Etobicoke-Lakeshore,167 STEPHEN DR,4,44,2020-11-17,80,Evaluation needs to be conducted in 2 years,18,4,4,5,4,4,3,N/A,4,4,3,4,4,5,4,4,4,4,4,4,N/A,W0327,43.6392913192,-79.4876408475,305781.53,4833038.307
2421923,4153503,NA,2020,1925,PRIVATE,13,Toronto Centre,135 EARL PL,4,16,2020-11-17,75,Evaluation needs to be conducted in 2 years,15,3,3,3,3,4,4,N/A,4,N/A,N/A,3,4,5,4,4,4,4,4,N/A,N/A,S1322,43.6680405937,-79.3779246146,314633.659,4836247.873
2421924,4154002,2017,2020,1940,PRIVATE,12,Toronto-St. Paul's,166 EASTBOURNE AVE,3,21,2020-11-17,74,Evaluation needs to be conducted in 2 years,14,4,4,5,4,3,4,N/A,3,N/A,N/A,3,4,5,3,3,3,N/A,4,N/A,N/A,S1227,43.7051010779,-79.4050051323,312440.564,4840353.701
2421925,4153693,2017,2020,1950,PRIVATE,19,Beaches-East York,567 KINGSTON RD,4,15,2020-11-17,72,Evaluation needs to be conducted in 2 years,15,3,4,3,3,3,4,N/A,3,N/A,3,4,3,5,4,4,4,N/A,4,N/A,N/A,S1939,43.678223,-79.300058207,320905.57,4837383.518
2421926,4153694,2017,2020,1940,PRIVATE,19,Beaches-East York,569 KINGSTON RD,4,15,2020-11-17,73,Evaluation needs to be conducted in 2 years,15,3,4,3,3,4,4,N/A,3,N/A,4,3,3,5,4,4,4,N/A,4,N/A,N/A,S1939,43.6783240562,-79.2996212727,320941.034,4837393.877
2421927,4153691,2017,2020,1920,PRIVATE,19,Beaches-East York,441 KINGSTON RD,3,15,2020-11-17,80,Evaluation needs to be conducted in 2 years,15,4,4,4,4,3,4,N/A,4,N/A,N/A,4,4,5,4,4,4,N/A,4,4,N/A,S1938,43.6767157275,-79.303971101,320590.73,4837214.351
2421928,4153695,2017,2020,1935,PRIVATE,19,Beaches-East York,737 KINGSTON RD,4,24,2020-11-17,70,Evaluation needs to be conducted in 2 years,14,3,4,3,3,3,4,N/A,3,N/A,N/A,3,3,4,4,4,4,N/A,4,N/A,N/A,S1939,43.6793516243,-79.2950478424,321309.513,4837508.933
2421929,4153678,2017,2020,1950,PRIVATE,19,Beaches-East York,156 KINGSTON RD,4,62,2020-11-17,78,Evaluation needs to be conducted in 2 years,17,4,4,4,3,4,4,N/A,4,N/A,3,4,4,5,4,4,4,3,4,4,N/A,S1937,43.6711399039,-79.3114153921,319991.88,4836593.512
2421930,4155429,2017,2020,1968,PRIVATE,01,Etobicoke North,2329 KIPLING AVE,5,40,2020-11-17,70,Evaluation needs to be conducted in 2 years,16,3,3,4,3,N/A,4,N/A,3,3,N/A,3,3,5,4,4,4,4,3,3,N/A,W0130,43.7318879794,-79.5760047964,298661.68,4843328.069
2421931,4153630,2017,2020,1927,PRIVATE,14,Toronto-Danforth,245-247 LOGAN AVE,4,21,2020-11-17,88,Evaluation needs to be conducted in 3 years,16,5,5,5,5,3,5,N/A,4,N/A,4,4,5,2,5,4,4,5,5,N/A,N/A,S1441,NA,NA,317503.543,4835393.504
2421932,4154578,2017,2020,1960,PRIVATE,06,York Centre,30 VINCI CRES,4,33,2020-11-17,84,Evaluation needs to be conducted in 2 years,17,4,5,5,4,4,4,N/A,5,N/A,3,4,5,5,3,4,4,4,4,4,N/A,N0629,43.7369856,-79.446046582,309130.334,4843893.855
2421933,4155124,2017,2020,1995,SOCIAL HOUSING,05,York South-Weston,1296 WESTON RD,5,24,2020-11-17,88,Evaluation needs to be conducted in 3 years,19,4,4,5,4,4,4,4,5,4,N/A,5,5,5,5,4,4,4,5,4,5,W0531,43.6890657377,-79.4960622799,305092.365,4838574.571
2421934,4154594,2017,2020,1960,PRIVATE,06,York Centre,3886 BATHURST ST,4,28,2020-11-17,81,Evaluation needs to be conducted in 2 years,17,4,4,5,3,5,4,N/A,5,N/A,4,3,4,5,4,3,3,5,4,4,N/A,N0629,43.7425586658,-79.4358613114,309950.559,4844512.582
2421935,4153609,2017,2020,1910,PRIVATE,14,Toronto-Danforth,648 BROADVIEW AVE,3,11,2020-11-16,81,Evaluation needs to be conducted in 2 years,16,5,5,4,3,5,5,N/A,5,N/A,N/A,4,4,5,3,4,3,3,3,4,N/A,S1428,43.6734656352,-79.3567572276,316335.147,4836844.637
2421936,4153607,2017,2020,1968,PRIVATE,14,Toronto-Danforth,655 BROADVIEW AVE,24,291,2020-11-16,87,Evaluation needs to be conducted in 3 years,19,5,4,5,5,4,5,5,3,5,N/A,3,4,5,4,5,5,5,4,3,4,S1428,43.673945589,-79.3561095196,316387.282,4836898.046
2421937,4153619,2017,2020,1940,PRIVATE,14,Toronto-Danforth,846-850 BROADVIEW AVE,3,24,2020-11-16,94,Evaluation needs to be conducted in 3 years,16,5,4,5,5,5,4,N/A,5,N/A,N/A,4,5,5,5,5,5,3,5,5,N/A,S1424,NA,NA,316188.231,4837458.031
2421938,4153618,2018,2020,1960,PRIVATE,14,Toronto-Danforth,852 BROADVIEW AVE,4,21,2020-11-16,70,Evaluation needs to be conducted in 2 years,16,4,3,3,4,4,3,N/A,3,N/A,4,4,3,5,3,3,4,N/A,3,3,N/A,S1424,43.6791580686,-79.3585813036,316187,4837476.8
2421939,4156355,2017,2020,1960,PRIVATE,01,Etobicoke North,9 BERGAMOT AVE,4,73,2020-11-16,73,Evaluation needs to be conducted in 2 years,19,4,3,4,4,4,3,3,3,3,3,3,4,5,4,4,4,3,4,4,N/A,W0130,43.714616652,-79.558696849,300054.31,4841409.213
2421940,4156450,2017,2020,1960,PRIVATE,01,Etobicoke North,11 BERGAMOT AVE,7,130,2020-11-16,68,Evaluation needs to be conducted in 2 years,19,4,4,4,3,3,3,3,3,3,3,3,4,5,3,3,3,3,4,4,N/A,W0130,43.714919516,-79.55750237,300150.586,4841442.799
2421941,4153606,2017,2020,1968,PRIVATE,14,Toronto-Danforth,10 HOGARTH AVE,23,287,2020-11-16,87,Evaluation needs to be conducted in 3 years,18,5,3,5,5,5,5,5,3,5,N/A,3,5,5,4,5,3,5,4,3,N/A,S1428,43.6739626249,-79.35545117,316440.365,4836900.03
2421942,4155196,2017,2020,1979,TCHC,05,York South-Weston,55 OUTLOOK AVE,12,275,2020-11-16,72,Evaluation needs to be conducted in 2 years,19,3,4,5,3,3,4,4,4,3,N/A,4,4,4,3,4,3,3,4,3,3,W0535,43.6784468398,-79.4962404033,305087.496,4837388.185
2421943,4155130,2017,2020,1969,PRIVATE,05,York South-Weston,24 PINEHILL CRES,4,29,2020-11-16,71,Evaluation needs to be conducted in 2 years,17,3,3,5,3,4,5,N/A,3,3,N/A,3,3,5,3,3,3,4,4,3,N/A,W0531,43.688323353,-79.50178938,304639.897,4838486.396
2421944,4285956,2017,2020,1968,TCHC,05,York South-Weston,121 HUMBER BLVD,14,215,2020-11-16,68,Evaluation needs to be conducted in 2 years,18,3,4,5,3,3,3,2,3,3,N/A,3,4,4,4,3,3,4,4,3,N/A,W0539,43.6784336179,-79.4818925888,NA,NA
2421945,4155653,2017,2020,1968,TCHC,05,York South-Weston,190 WOOLNER AVE,16,304,2020-11-16,68,Evaluation needs to be conducted in 2 years,19,3,4,4,3,3,3,3,3,4,N/A,2,3,4,4,4,4,4,3,3,4,W0539,43.6726977491,-79.4906805093,305535.861,4836749.508
2421946,4155128,2017,2020,1977,PRIVATE,05,York South-Weston,12 BUTTONWOOD AVE,4,40,2020-11-16,73,Evaluation needs to be conducted in 2 years,17,4,4,4,4,3,3,N/A,3,3,4,3,3,5,4,4,4,N/A,4,3,N/A,W0531,43.6911592011,-79.5020724213,304617.364,4838800.489
2421947,4155287,2017,2020,1954,PRIVATE,03,Etobicoke-Lakeshore,2 KINGS POINT DR,4,16,2020-11-16,82,Evaluation needs to be conducted in 2 years,17,4,4,5,4,3,5,N/A,4,N/A,3,4,5,5,4,4,4,5,4,3,N/A,W0327,43.639372903,-79.4944231531,305234.286,4833047.319
2421948,4155286,2017,2020,1954,PRIVATE,03,Etobicoke-Lakeshore,4 KINGS POINT DR,4,16,2020-11-16,80,Evaluation needs to be conducted in 2 years,17,4,3,5,4,3,4,N/A,4,N/A,3,4,5,5,4,4,4,5,4,3,N/A,W0327,43.6395029387,-79.4940316467,305265.876,4833061.767
2421949,4155285,2017,2020,1950,PRIVATE,03,Etobicoke-Lakeshore,6 KINGS POINT DR,3,16,2020-11-16,69,Evaluation needs to be conducted in 2 years,16,3,3,5,3,3,4,N/A,3,N/A,N/A,3,3,5,3,3,4,3,4,3,N/A,W0327,43.6396095695,-79.4936460031,305296.993,4833073.615
2421950,4155284,2018,2020,1953,PRIVATE,03,Etobicoke-Lakeshore,8 KINGS POINT DR,5,16,2020-11-16,78,Evaluation needs to be conducted in 2 years,16,4,4,5,3,4,3,N/A,4,N/A,N/A,4,4,5,4,4,3,4,4,3,N/A,W0327,43.6396821871,-79.4933367622,305321.945,4833081.684
2421951,4153101,2017,2020,2003,SOCIAL HOUSING,09,Davenport,973 LANSDOWNE AVE,3,20,2020-11-16,77,Evaluation needs to be conducted in 2 years,15,4,4,5,4,3,4,N/A,4,N/A,N/A,3,4,4,4,4,3,4,4,N/A,N/A,S0930,43.6661838696,-79.4459119791,309146.453,4836027.149
2421952,4155125,2017,2020,1960,PRIVATE,05,York South-Weston,1321 WESTON RD,3,10,2020-11-16,74,Evaluation needs to be conducted in 2 years,14,3,4,4,4,3,3,N/A,4,N/A,N/A,4,3,5,3,4,4,N/A,4,N/A,N/A,W0531,43.6898644553,-79.4968078854,305041.755,4838656.633
2421953,4153378,2017,2020,1983,TCHC,10,Spadina-Fort York,575 ADELAIDE ST W,11,150,2020-11-15,75,Evaluation needs to be conducted in 2 years,19,4,4,4,4,4,4,3,3,4,N/A,4,4,5,3,3,3,4,3,4,4,S1028,43.6445845561,-79.40368311,312554.891,4833630.519
2421954,4153142,2017,2020,1987,SOCIAL HOUSING,10,Spadina-Fort York,800 ADELAIDE ST W,3,50,2020-11-15,79,Evaluation needs to be conducted in 2 years,18,4,4,5,4,4,4,3,4,4,N/A,4,4,5,4,3,3,4,4,N/A,4,S1028,43.6439718067,-79.4103609926,312016.23,4833561.862
2421955,4156038,2017,2020,1969,TCHC,13,Toronto Centre,375 BLEECKER ST,24,327,2020-11-15,61,Evaluation needs to be conducted in 1 year,18,3,3,3,2,4,3,3,4,3,N/A,2,3,5,3,3,3,2,3,3,N/A,S1323,43.670607632,-79.374814757,314879.229,4836525.724
2421956,4152818,2017,2020,1962,PRIVATE,24,Scarborough-Guildwood,45 GREENCREST CRCT,6,100,2020-11-15,79,Evaluation needs to be conducted in 2 years,19,4,4,4,4,4,4,4,3,4,4,4,4,5,4,4,4,4,4,3,N/A,E2430,43.7587421,-79.2223171477,327144.177,4846345.796
2421957,4153556,2017,2020,1980,SOCIAL HOUSING,10,Spadina-Fort York,5 HAHN PL,4,32,2020-11-15,81,Evaluation needs to be conducted in 2 years,16,4,4,4,4,4,4,N/A,4,N/A,N/A,4,4,5,4,4,4,3,4,5,N/A,S1039,43.648895594,-79.362805101,315851.683,4834115.191
2421958,4152759,2017,2020,1972,PRIVATE,21,Scarborough Centre,1375 MIDLAND AVE,13,144,2020-11-15,78,Evaluation needs to be conducted in 2 years,18,4,4,4,3,4,4,4,4,4,N/A,4,4,5,4,4,4,4,3,3,N/A,E2134,43.7499873653,-79.2636073728,323822.18,4845362.91
2421959,4152860,2017,2020,1977,PRIVATE,22,Scarborough-Agincourt,20 STONEHILL CRT,13,153,2020-11-15,83,Evaluation needs to be conducted in 2 years,18,4,4,5,4,4,4,4,4,5,N/A,4,4,5,4,4,4,4,4,4,N/A,E2226,43.7959618631,-79.3147046688,319695.816,4850460.119
2421960,4153138,2017,2020,1989,SOCIAL HOUSING,10,Spadina-Fort York,24 SHAW ST,9,200,2020-11-15,86,Evaluation needs to be conducted in 3 years,17,4,4,5,4,5,4,4,4,5,N/A,4,4,5,4,4,4,N/A,4,5,N/A,S1027,43.6423363643,-79.4160843491,311554.662,4833379.707
2421961,4156556,2018,2020,1970,TCHC,24,Scarborough-Guildwood,3943 LAWRENCE AVE E,3,15,2020-11-15,69,Evaluation needs to be conducted in 2 years,16,4,3,4,3,3,4,N/A,4,N/A,N/A,3,4,5,3,3,3,3,3,3,N/A,E2431,43.7631593909,-79.2047559,328556.497,4846841.376
2421962,4156555,2017,2020,1970,TCHC,24,Scarborough-Guildwood,3945 LAWRENCE AVE E,3,20,2020-11-15,66,Evaluation needs to be conducted in 2 years,16,3,3,3,3,3,4,N/A,4,N/A,N/A,3,4,5,3,3,3,3,3,3,N/A,E2431,43.7630131413,-79.2041400469,328606.14,4846825.304
2421963,4155854,2018,2020,1970,TCHC,24,Scarborough-Guildwood,3939 LAWRENCE AVE E,3,31,2020-11-15,69,Evaluation needs to be conducted in 2 years,16,3,3,4,3,3,3,N/A,4,N/A,N/A,4,4,5,3,3,3,3,4,3,N/A,E2431,43.763475642,-79.2053061322,328497.269,4846918.613
2421964,4153554,2017,2020,1980,SOCIAL HOUSING,10,Spadina-Fort York,33 HAHN PL,8,135,2020-11-15,87,Evaluation needs to be conducted in 3 years,19,5,4,5,5,5,4,4,4,4,N/A,4,4,5,4,4,4,4,4,5,5,S1039,43.649402507,-79.362697005,315860.308,4834171.515
2421965,4154788,2017,2020,1950,PRIVATE,16,Don Valley East,6 THE DONWAY E,4,40,2020-11-14,83,Evaluation needs to be conducted in 2 years,18,3,5,5,3,4,5,3,4,5,N/A,4,5,5,3,4,5,4,4,4,N/A,N1627,43.7335956661,-79.3405231156,317631.353,4843527.159
2421966,4153728,2017,2020,2007,SOCIAL HOUSING,19,Beaches-East York,2802 DANFORTH AVE,4,25,2020-11-14,83,Evaluation needs to be conducted in 2 years,18,4,4,4,5,4,5,4,4,4,N/A,4,4,5,4,4,4,N/A,4,4,4,S1930,43.6896558449,-79.2961972389,321214.033,4838653.442
2421967,4156459,2017,2020,1976,PRIVATE,20,Scarborough Southwest,39 PARKCREST DR,7,134,2020-11-14,82,Evaluation needs to be conducted in 2 years,19,4,4,4,4,4,4,4,5,4,N/A,4,4,5,4,4,4,4,4,4,4,E2027,43.7359730644,-79.2190996441,327411.779,4843817.119
2421968,4269318,2017,2020,1958,PRIVATE,20,Scarborough Southwest,998 DANFORTH RD,3,21,2020-11-14,80,Evaluation needs to be conducted in 2 years,16,4,4,4,4,4,4,N/A,4,N/A,4,4,4,5,4,4,4,N/A,4,3,N/A,E2024,43.7352342615,-79.2476716721,325110.51,4843727.705
2421969,4269313,2017,2020,1958,PRIVATE,20,Scarborough Southwest,996 DANFORTH RD,3,20,2020-11-14,80,Evaluation needs to be conducted in 2 years,16,4,4,4,4,4,4,N/A,4,N/A,4,4,4,5,4,4,4,N/A,4,3,N/A,E2024,43.7350794611,-79.2480505493,325080.042,4843710.415
2421970,4152789,2020,2020,1960,PRIVATE,20,Scarborough Southwest,3121 EGLINTON AVE E,6,81,2020-11-13,71,Evaluation needs to be conducted in 2 years,17,4,4,4,3,4,3,N/A,3,3,N/A,2,4,4,3,4,3,4,4,4,N/A,E2027,43.7415452404,-79.2234208704,327061.643,4844435.008
2421971,4155020,2017,2020,1971,PRIVATE,12,Toronto-St. Paul's,330 WINNETT AVE,4,39,2020-11-13,86,Evaluation needs to be conducted in 3 years,17,4,4,5,4,4,3,4,4,N/A,N/A,4,5,5,4,5,4,4,5,5,N/A,S1223,43.692267101,-79.435055881,310019.468,4838926.465
2421972,4155033,2017,2020,1960,PRIVATE,12,Toronto-St. Paul's,682 NORTHCLIFFE BLVD,6,54,2020-11-13,73,Evaluation needs to be conducted in 2 years,18,4,4,4,3,3,4,N/A,4,3,2,4,4,5,3,4,4,4,4,3,N/A,S1222,43.695608909,-79.4478332709,308989.478,4839296.063
2421973,4153367,2017,2020,1957,PRIVATE,12,Toronto-St. Paul's,159 RUSSELL HILL RD,4,18,2020-11-13,77,Evaluation needs to be conducted in 2 years,18,4,4,5,4,4,4,N/A,4,3,4,4,3,5,3,4,4,3,4,3,N/A,S1237,43.681900098,-79.405861723,312374.181,4837776.963
2421974,4153369,2017,2020,1959,PRIVATE,12,Toronto-St. Paul's,221 RUSSELL HILL RD,4,18,2020-11-13,77,Evaluation needs to be conducted in 2 years,18,4,4,5,4,4,4,N/A,4,3,4,4,3,5,3,4,4,3,4,3,N/A,S1237,43.682871103,-79.406514542,312321.425,4837884.787
2421975,4153499,2017,2020,1991,TCHC,13,Toronto Centre,460 JARVIS ST,10,212,2020-11-13,80,Evaluation needs to be conducted in 2 years,19,4,4,5,3,4,4,4,4,4,N/A,3,4,5,4,4,4,4,4,4,4,S1326,43.6658437649,-79.3786635965,314569.899,4835995.071
2421976,4152667,2017,2020,1962,PRIVATE,20,Scarborough Southwest,130 FOXRIDGE DR,3,30,2020-11-13,81,Evaluation needs to be conducted in 2 years,17,4,4,4,4,4,4,N/A,4,N/A,4,4,3,5,4,5,4,4,4,4,N/A,E2023,43.7242519745,-79.2657615108,323656.732,4842503.35
2421977,4155843,2017,2020,1952,PRIVATE,20,Scarborough Southwest,3214 ST CLAIR AVE E,3,16,2020-11-13,79,Evaluation needs to be conducted in 2 years,15,3,4,4,4,3,4,N/A,4,N/A,N/A,4,4,5,4,4,4,N/A,4,4,N/A,E2021,43.7104704684,-79.2900582076,321703.085,4840967.096
2421978,4156305,2017,2020,1952,PRIVATE,20,Scarborough Southwest,3218 ST CLAIR AVE E,3,16,2020-11-13,76,Evaluation needs to be conducted in 2 years,15,3,4,4,3,3,4,N/A,4,N/A,N/A,3,4,5,4,4,4,N/A,4,4,N/A,E2021,43.7103165144,-79.2898372595,321720.933,4840950.037
2421979,4156306,2017,2020,1952,PRIVATE,20,Scarborough Southwest,3222 ST CLAIR AVE E,3,16,2020-11-13,76,Evaluation needs to be conducted in 2 years,15,3,4,4,4,3,4,N/A,4,N/A,N/A,3,3,5,4,4,4,N/A,4,4,N/A,E2021,43.7103391108,-79.2897341837,321729.233,4840952.568
2421980,4155396,2017,2020,1963,PRIVATE,02,Etobicoke Centre,70 DIXFIELD DR,12,141,2020-11-13,81,Evaluation needs to be conducted in 2 years,20,5,4,5,4,4,5,3,3,4,4,4,4,5,4,4,3,3,5,3,5,W0225,43.656041966,-79.572403682,298944.101,4834902.553
2421981,4153514,2017,2020,1970,PRIVATE,13,Toronto Centre,15 DUNDONALD ST,24,172,2020-11-13,74,Evaluation needs to be conducted in 2 years,19,4,4,4,4,4,4,3,3,4,4,4,3,4,3,4,4,4,3,3,N/A,S1322,43.665727503,-79.383887543,314148.344,4835982.525
2421982,4153511,2017,2020,1968,PRIVATE,13,Toronto Centre,41 DUNDONALD ST,18,107,2020-11-13,74,Evaluation needs to be conducted in 2 years,19,4,4,4,3,4,3,3,4,3,4,4,3,3,4,4,4,4,4,4,N/A,S1322,43.666212621,-79.382200082,314284.363,4836036.604
2421983,4153512,2017,2020,1917,PRIVATE,13,Toronto Centre,49 DUNDONALD ST,5,32,2020-11-13,72,Evaluation needs to be conducted in 2 years,15,4,4,3,3,3,3,N/A,4,4,N/A,3,3,5,4,4,3,N/A,4,N/A,N/A,S1322,43.666349498,-79.381871851,314310.814,4836051.846
2421984,4153502,2018,2020,1918,PRIVATE,13,Toronto Centre,125 EARL PL,4,15,2020-11-13,73,Evaluation needs to be conducted in 2 years,14,3,4,3,4,4,4,N/A,4,N/A,N/A,3,3,5,3,3,4,N/A,4,N/A,N/A,S1322,43.6679778156,-79.3782190635,314612.894,4836239.946
2421985,4154795,2017,2020,1950,PRIVATE,16,Don Valley East,1129 DON MILLS RD,6,46,2020-11-13,77,Evaluation needs to be conducted in 2 years,19,4,3,4,4,3,3,3,3,4,5,4,3,5,3,4,5,4,5,4,N/A,N1624,43.7377515394,-79.3430141694,317429.821,4843988.499
